{565}
[9](2, S, 분식집,)
[6](3, S, 학교,)
[3](2, S, 앞,)
[6](1, U, 만두,)
[6](4, S, 함께,)
[9](2, S, 문방구,)
[6](1, U, 뽑기,)
[9](1, U, 색종이,)
[6](6, S, 놀다,)
[6](1, U, 야생,)
[6](1, U, 동물,)
[12](1, U, 야생동물,)
[3](3, S, 목,)
[6](1, U, 길다,)
[12](1, U, 뚱뚱하다,)
[6](1, U, 하마,)
[6](6, S, 쉬다,)
[6](8, K, 오늘,)
[6](7, K, 음악,)
[9](3, S, 조용히,)
[6](4, S, 듣다,)
[6](1, U, 부엌,)
[9](3, S, 맛있다,)
[6](3, S, 음식,)
[12](1, U, 요리하다,)
[6](2, S, 거실,)
[3](6, S, 책,)
[6](6, S, 읽다,)
[6](2, S, 침대,)
[6](1, U, 눕다,)
[6](2, S, 느낌,)
[12](1, U, 평화롭다,)
[6](4, S, 들다,)
[3](1, U, 밖,)
[9](1, U, 바라다,)
[6](4, S, 소리,)
[9](2, S, 들리다,)
[6](1, U, 혼자,)
[12](4, S, 생각하다,)
[12](1, U, 완벽하다,)
[6](8, K, 하루,)
[6](6, S, 같다,)
[6](1, U, 초대,)
[3](5, S, 때,)
[9](2, S, 갑자기,)
[9](1, U, 울리다,)
[6](3, S, 지금,)
[12](4, S, 물어보다,)
[12](2, S, 대답하다,)
[6](3, S, 자기,)
[12](1, U, 초대하다,)
[6](3, S, 싶다,)
[6](7, K, 오다,)
[6](5, S, 같이,)
[6](2, S, 되다,)
[6](2, S, 미소,)
[6](2, S, 짓다,)
[12](3, S, 다녀오다,)
[12](2, S, 조심하다,)
[12](4, S, 재미있다,)
[12](2, S, 말씀하다,)
[12](5, S, 도착하다,)
[12](3, S, 친절하다,)
[6](1, U, 맞다,)
[6](6, S, 주다,)
[6](1, U, 과자,)
[6](1, U, 게임,)
[3](1, U, 방,)
[12](1, U, 아늑하다,)
[3](3, S, 벽,)
[6](2, S, 붙다,)
[6](2, S, 그림,)
[6](2, S, 보다,)
[9](1, U, 편하다,)
[6](1, U, 웃음,)
[6](2, S, 내다,)
[3](2, S, 줄,)
[9](1, U, 모르다,)
[9](1, U, 즐겁다,)
[6](5, S, 작다,)
[6](3, S, 발견,)
[6](1, U, 책장,)
[12](1, U, 오래되다,)
[12](2, S, 발견하다,)
[12](1, U, 질문하다,)
[6](1, U, 질문,)
[9](2, S, 할머니,)
[6](2, S, 옛날,)
[3](1, U, 말,)
[12](1, U, 살펴보다,)
[3](3, S, 중,)
[3](6, S, 속,)
[6](4, S, 편지,)
[9](1, U, 쓰이다,)
[6](1, U, 글씨,)
[6](4, S, 조금,)
[12](1, U, 흐릿하다,)
[6](1, U, 내용,)
[12](3, S, 흥미롭다,)
[9](1, U, 보이다,)
[12](6, S, 시작하다,)
[6](1, U, 젊다,)
[6](1, U, 겪다,)
[6](7, K, 모험,)
[9](6, S, 대하다,)
[9](8, K, 이야기,)
[9](1, U, 적히다,)
[9](1, U, 꿈꾸다,)
[6](5, S, 나다,)
[9](1, U, 재밌다,)
[9](4, S, 떠나다,)
[9](2, S, 어떻다,)
[3](4, S, 눈,)
[12](1, U, 반짝이다,)
[3](1, U, 겁,)
[9](1, U, 해보다,)
[6](2, S, 무엇,)
[6](5, S, 계획,)
[9](3, S, 세우다,)
[6](3, S, 생각,)
[15](1, U, 두근거리다,)
[6](1, U, 다음,)
[6](1, U, 계속,)
[15](3, S, 이야기하다,)
[9](3, S, 챙기다,)
[6](3, S, 점점,)
[12](1, U, 흥분되다,)
[3](4, S, 것,)
[6](3, S, 무슨,)
[6](1, U, 펴다,)
[9](1, U, 조심히,)
[3](2, S, 꼭,)
[12](1, U, 안전하다,)
[12](1, U, 행동하다,)
[6](1, U, 응원,)
[6](2, S, 덕분,)
[3](1, U, 더,)
[6](1, U, 용기,)
[9](3, S, 생기다,)
[3](1, U, 첫,)
[6](2, S, 번째,)
[9](2, S, 목적지,)
[3](7, K, 옆,)
[6](13, K, 동네,)
[9](2, S, 드디어,)
[6](2, S, 밝다,)
[6](2, S, 간식,)
[6](2, S, 버스,)
[6](5, S, 타다,)
[6](2, S, 창밖,)
[12](4, S, 바라보다,)
[9](2, S, 설레다,)
[6](2, S, 마음,)
[9](2, S, 나누다,)
[9](6, S, 낯설다,)
[12](2, S, 신기하다,)
[9](2, S, 느끼다,)
[12](3, S, 특별하다,)
[9](1, U, 느낌첫,)
[9](8, K, 만나다,)
[12](2, S, 구경하다,)
[6](1, U, 다가,)
[12](2, S, 인사하다,)
[9](1, U, 오래다,)
[6](2, S, 소개,)
[6](2, S, 많다,)
[6](2, S, 알다,)
[12](2, S, 들려주다,)
[6](2, S, 예전,)
[12](3, S, 이상하다,)
[3](3, S, 일,)
[6](2, S, 자주,)
[12](4, S, 일어나다,)
[12](1, U, 다가오다,)
[6](1, U, 오래,)
[6](3, S, 비밀,)
[6](1, U, 전설,)
[3](3, S, 숲,)
[12](1, U, 사라지다,)
[6](1, U, 물건,)
[6](1, U, 그리,)
[3](4, S, 밤,)
[6](1, U, 깊이,)
[12](1, U, 빠져들다,)
[12](1, U, 알아내다,)
[12](1, U, 궁금하다,)
[9](1, U, 향하다,)
[3](2, S, 길,)
[9](2, S, 원하다,)
[12](1, U, 가르치다,)
[6](1, U, 그럼,)
[3](2, S, 전,)
[12](1, U, 돌아오다,)
[6](1, U, 주의,)
[12](1, U, 걸어가다,)
[6](1, U, 어떤,)
[12](1, U, 벌어지다,)
[6](1, U, 기대,)
[6](1, U, 긴장,)
[6](1, U, 가득,)
